time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range
67584,419.43,5344,12,-10.982733090000002,33,0.001498919063649211,17.43027687072754,-0.9894334583690292,-0.015060379595716336,608,0.8762354850769043,0.015669538,54.62135904713681,0.08259662828947369,0.25
69632,430.7,5355,13,-4.0697898100000005,34,0.001498919063649211,8.948790550231934,-1.0404024963316165,-0.014746434496421563,627,0.9422690868377686,0.014556571,35.239815649233364,0.11109683388157894,0.25
71680,441.8,5365,13,-5.563628090000001,35,0.001498919063649211,12.12092113494873,-0.9191129658567277,-0.002912381688426984,646,0.7964619994163513,0.014770206,111.41118496342709,0.09164268092105263,0.25
73728,456.34,5370,13,-3.821095980000001,36,0.001498919063649211,20.101947784423828,-0.9617058917095787,-0.006955413028328239,665,0.8245000839233398,0.024080534,84.29363516757363,0.11739309210526316,0.25
75776,461.44,5374,14,-0.6063434500000002,37,0.001498919063649211,4.664581775665283,-0.9910526448174527,-0.00818329533304725,684,0.933851957321167,0.012734442,25.56536444237358,0.12201891447368421,0.25
77824,465.18,5385,14,5.53702914,38,0.001498919063649211,6.96821928024292,-1.0911622972864854,-0.01564523489459565,703,0.881584107875824,0.017372943,41.152408932384695,0.1054430509868421,0.25
79872,480.37,5384,14,4.65214951,39,0.001498919063649211,118.0284423828125,-1.0060228281899501,-0.009475988435473195,722,0.8338133096694946,0.010871029,149.11612390217027,0.07288240131578948,0.25
81920,489.94,5337,15,9.159110750000002,40,0.001498919063649211,20.199207305908203,-1.0561560831571881,-0.01295583150778456,741,0.9072316288948059,0.013493669,51.6706595044387,0.08406147203947369,0.25
83968,506.0,5340,15,12.10901697,41,0.001498919063649211,26.7589054107666,-1.0455972528771351,-0.010307767950794905,760,0.7315667867660522,0.023102803,91.75570631027222,0.12340666118421052,0.25
86016,514.19,5340,16,15.74492346,42,0.001498919063649211,5.445012092590332,-1.0055452965592082,-0.009817441949914945,779,0.9309212565422058,0.013712291,16.86441103408211,0.10585423519736842,0.25
