rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/loss
-191.01195012941176,1,93.28235294117647,16894,0,8192,,,,,,,,,,
-157.04853512999998,2,101.09,10120,1,16384,0.11929481907894737,0.25,-0.012709251441073752,19,-0.0010117292404174805,0.019588534,1390.3120474564403,0.001498919063649211,-1.3709968044177483,361.9853210449219
-118.59108268,3,103.05,9268,2,24576,0.09923673930921052,0.25,-0.013025024537407597,38,0.23832672834396362,0.014155791,463.55261717344587,0.001498919063649211,-1.3382962342155607,142.59693908691406
-94.45088072,4,110.55,8984,3,32768,0.1090087890625,0.25,-0.013665419429966469,57,0.3431129455566406,0.017596673,442.30423839468705,0.001498919063649211,-1.296785687145434,195.5615692138672
-55.605819829999994,5,118.47,8597,4,40960,0.11134097450657894,0.25,-0.01618095420570554,76,0.5186657905578613,0.016549937,196.74972652134142,0.001498919063649211,-1.2492677916429544,99.34467315673828
-38.92992139,6,141.9,8526,5,49152,0.19283254523026316,0.25,-0.022812344298137378,95,0.6969863176345825,0.023537045,83.15182736045436,0.001498919063649211,-1.158407300906746,31.80550193786621
-33.769257010000004,7,184.02,8433,6,57344,0.1207532380756579,0.25,-0.015497994138154593,114,0.8558687567710876,0.0194644,58.900926878577785,0.001498919063649211,-1.1235710019735914,33.04480743408203
-25.851251620000003,8,252.57,8358,7,65536,0.14884868421052633,0.25,-0.013217379434392666,133,0.9028329253196716,0.019206533,38.12878111475393,0.001498919063649211,-1.184714869449013,12.660481452941895
-17.718144510000002,9,324.62,8238,8,73728,0.1009264494243421,0.25,-0.009411842388401152,152,0.9062734842300415,0.01350797,31.43404238161288,0.001498919063649211,-1.1683332408337217,14.007999420166016
-5.253662639999999,10,397.84,8168,10,81920,0.12685032894736842,0.25,-0.00812411015182366,171,0.9352742433547974,0.017237943,25.458084418585425,0.001498919063649211,-1.1613438421566236,11.231972694396973
5.69580274,11,468.92,8084,11,90112,0.1027575041118421,0.25,-0.00990417516234294,190,0.9514995813369751,0.013477009,16.990508195601013,0.001498919063649211,-1.1063209229001874,8.197098731994629
17.92596829,12,538.38,7997,12,98304,0.07500256990131579,0.25,-0.00653546213480264,209,0.9712948799133301,0.010441259,8.482687940723018,0.001498919063649211,-1.045849406699601,2.431701183319092
31.25463894,13,598.0,7933,13,106496,0.08667634662828948,0.25,-0.009227772617841287,228,0.9588978886604309,0.010503198,11.853315846308282,0.001498919063649211,-1.0718231810943077,7.141494274139404
45.74759533999999,14,674.04,7900,14,114688,0.09593441611842106,0.25,-0.007130521724895133,247,0.97245192527771,0.013194343,12.368524630603037,0.001498919063649211,-1.0308014736755897,9.85279369354248
57.66145996,15,728.78,7825,15,122880,0.0954846833881579,0.25,-0.007424033635240784,266,0.9821961522102356,0.0136798015,4.486549932901797,0.001498919063649211,-1.0237737966603355,1.6836713552474976
71.86508201000001,16,778.55,7768,16,131072,0.04539730674342105,0.25,-0.005290121624344273,285,0.9356703758239746,0.007815248,24.904458016941422,0.001498919063649211,-1.0037172561217296,6.7279229164123535
81.97432527,17,819.27,7753,17,139264,0.06104800575657895,0.25,-0.0043008396621046,304,0.9838119745254517,0.009435492,5.361117083383234,0.001498919063649211,-1.0028798764473514,1.5830953121185303
92.21851609000001,18,852.68,7737,19,147456,0.0625963712993421,0.25,-0.005475850803027003,323,0.9674840569496155,0.010504009,8.000732234434077,0.001498919063649211,-0.991256018806445,2.300804615020752
100.20535632,19,848.9,7523,20,155648,0.04522383840460526,0.25,-0.004572450779769018,342,0.8736369013786316,0.011739033,51.07992397719308,0.001498919063649211,-0.9859583143536982,18.964900970458984
109.86557454000001,20,857.49,7500,21,163840,0.06217233758223684,0.25,-0.0043262593455055095,361,0.9352672100067139,0.010080241,14.476319528331882,0.001498919063649211,-0.9600692905093494,6.335822582244873
116.32744580999999,21,864.12,7496,22,172032,0.09835654810855263,0.25,-0.0033365753372077292,380,0.9938703179359436,0.018022668,2.0222909137802687,0.001498919063649211,-0.9612288671104532,0.6812649965286255
122.13137913999998,22,871.03,7500,24,180224,0.07035104851973684,0.25,-0.007377215993887819,399,0.9671811461448669,0.0103147905,3.9153587041716826,0.001498919063649211,-0.9875626349331517,1.2865573167800903
123.90109123,23,871.03,7497,25,188416,0.09595369037828948,0.25,-0.008231826276689964,418,0.9902067184448242,0.018747259,2.6753190249988905,0.001498919063649211,-0.8748346985758919,0.7200127840042114
126.28573870999999,24,879.07,7360,26,196608,0.08115748355263158,0.25,-0.008520598858395763,437,0.9916548132896423,0.0112151,1.5673213801101635,0.001498919063649211,-0.8877855772642713,0.4877302646636963
128.96378307999998,25,879.07,7250,28,204800,0.04639314350328947,0.25,-0.0027467881227494217,456,0.9764214158058167,0.007956719,9.268336919969634,0.001498919063649211,-0.9065976336010193,8.696638107299805
135.4528559,26,902.73,7261,29,212992,0.0917711759868421,0.25,-0.006722332442127242,475,0.9932972192764282,0.02435011,1.015436554621709,0.001498919063649211,-0.8851914644045266,0.20811933279037476
136.48448348,27,902.73,7235,30,221184,0.08338687294407894,0.25,-0.005832301286940684,494,0.9792715311050415,0.01507971,6.110321386178073,0.001498919063649211,-0.9736310299485922,0.8481594324111938
137.82624417,28,902.73,7238,31,229376,0.07037674753289473,0.25,-0.006247975662087188,513,0.9977921843528748,0.015877448,0.65443306029039,0.001498919063649211,-0.8988111584790444,0.17386840283870697
